"average_months_on_waiting_list","average_months_since_moved_in","county","percent_62_or_more_head_or_spouse","percent_85_or_more_head_or_spouse","percent_minority","percent_occupied","state","total_wait"
9,72,"=""Freeborn County""",43,8,21,86,"=""MN""",81
24,72,"=""Goodhue County""",49,6,16,89,"=""MN""",96
NA,53,"=""Grant County""",41,4,4,72,"=""MN""",52
23,109,"=""Hennepin County""",43,4,75,90,"=""MN""",132
8,75,"=""Houston County""",58,9,9,80,"=""MN""",83
14,72,"=""Hubbard County""",51,8,7,80,"=""MN""",86
63,87,"=""Isanti County""",48,6,5,90,"=""MN""",150
39,66,"=""Itasca County""",32,2,9,86,"=""MN""",105
24,43,"=""Jackson County""",26,1,7,90,"=""MN""",67
4,76,"=""Kanabec County""",67,7,5,94,"=""MN""",80
7,84,"=""Kandiyohi County""",38,4,43,77,"=""MN""",91
12,67,"=""Kittson County""",55,11,8,60,"=""MN""",79
8,83,"=""Koochiching County""",48,6,9,77,"=""MN""",91
2,50,"=""Lac qui Parle County""",60,7,5,71,"=""MN""",52
17,79,"=""Lake County""",61,5,5,88,"=""MN""",96
1,67,"=""Lake of the Woods County""",26,8,3,76,"=""MN""",68
27,72,"=""Le Sueur County""",44,7,13,84,"=""MN""",99
77,58,"=""Lincoln County""",47,5,2,80,"=""MN""",135
39,67,"=""Lyon County""",36,2,15,87,"=""MN""",106
12,84,"=""McLeod County""",48,6,12,87,"=""MN""",96
12,70,"=""Mahnomen County""",55,10,50,67,"=""MN""",82
54,56,"=""Marshall County""",38,7,7,88,"=""MN""",110
7,72,"=""Martin County""",36,1,8,84,"=""MN""",79
20,66,"=""Meeker County""",61,11,2,95,"=""MN""",86
215,82,"=""Mille Lacs County""",62,9,8,86,"=""MN""",297
12,65,"=""Morrison County""",49,7,7,74,"=""MN""",77
20,72,"=""Mower County""",37,2,30,90,"=""MN""",92
10,55,"=""Murray County""",36,5,6,72,"=""MN""",65
9,71,"=""Nicollet County""",34,2,31,79,"=""MN""",80
34,72,"=""Nobles County""",35,4,50,77,"=""MN""",106
38,68,"=""Norman County""",45,8,8,74,"=""MN""",106
22,89,"=""Olmsted County""",43,4,50,90,"=""MN""",111
8,58,"=""Otter Tail County""",39,4,11,82,"=""MN""",66
38,73,"=""Pennington County""",53,7,8,90,"=""MN""",111
73,76,"=""Pine County""",70,7,4,89,"=""MN""",149
39,50,"=""Pipestone County""",29,2,31,78,"=""MN""",89
24,64,"=""Polk County""",31,3,27,80,"=""MN""",88
60,57,"=""Pope County""",43,3,7,86,"=""MN""",117
22,102,"=""Ramsey County""",36,3,71,86,"=""MN""",124
4,52,"=""Red Lake County""",50,6,8,76,"=""MN""",56
26,44,"=""Redwood County""",29,2,29,77,"=""MN""",70
NA,62,"=""Renville County""",37,6,11,81,"=""MN""",61
37,73,"=""Rice County""",43,3,34,76,"=""MN""",110
6,58,"=""Rock County""",45,8,10,97,"=""MN""",64
29,60,"=""Roseau County""",58,14,5,87,"=""MN""",89
20,76,"=""St. Louis County""",36,3,20,86,"=""MN""",96
28,85,"=""Scott County""",38,3,50,94,"=""MN""",113
24,86,"=""Sherburne County""",46,7,45,93,"=""MN""",110
2,82,"=""Sibley County""",53,8,17,86,"=""MN""",84
19,83,"=""Stearns County""",41,5,43,86,"=""MN""",102
NA,80,"=""Steele County""",40,3,21,78,"=""MN""",79
30,45,"=""Stevens County""",27,3,17,72,"=""MN""",75
31,51,"=""Swift County""",40,5,13,86,"=""MN""",82
23,65,"=""Todd County""",53,7,11,74,"=""MN""",88
8,51,"=""Traverse County""",39,4,15,86,"=""MN""",59
8,71,"=""Wabasha County""",44,5,9,90,"=""MN""",79
3,59,"=""Wadena County""",44,8,4,81,"=""MN""",62
6,68,"=""Waseca County""",49,10,10,81,"=""MN""",74
18,102,"=""Washington County""",32,3,40,86,"=""MN""",120
23,64,"=""Watonwan County""",39,3,29,93,"=""MN""",87
2,56,"=""Wilkin County""",30,2,18,86,"=""MN""",58
16,88,"=""Winona County""",38,3,21,88,"=""MN""",104
30,85,"=""Wright County""",46,5,17,92,"=""MN""",115
2,58,"=""Yellow Medicine County""",57,10,12,71,"=""MN""",60
8,97,"=""Adams County""",26,1,94,90,"=""MS""",105
9,73,"=""Alcorn County""",38,3,48,89,"=""MS""",82
14,84,"=""Amite County""",20,1,97,80,"=""MS""",98
9,85,"=""Attala County""",25,1,87,95,"=""MS""",94
NA,NA,"=""Benton County""",NA,NA,NA,NA,"=""MS""",-8
39,106,"=""Bolivar County""",24,1,97,87,"=""MS""",145
NA,84,"=""Calhoun County""",27,NA,80,91,"=""MS""",83
NA,120,"=""Carroll County""",17,NA,95,74,"=""MS""",119
8,84,"=""Chickasaw County""",23,1,92,88,"=""MS""",92
22,86,"=""Choctaw County""",15,NA,100,83,"=""MS""",108
11,71,"=""Claiborne County""",18,NA,100,85,"=""MS""",82
11,96,"=""Clarke County""",15,0,90,99,"=""MS""",107
34,92,"=""Clay County""",16,1,96,79,"=""MS""",126
59,107,"=""Coahoma County""",33,1,98,88,"=""MS""",166
34,110,"=""Copiah County""",18,1,97,95,"=""MS""",144
NA,72,"=""Covington County""",17,3,97,86,"=""MS""",71
13,94,"=""DeSoto County""",28,2,82,95,"=""MS""",107
15,89,"=""Forrest County""",26,2,91,83,"=""MS""",104
2,91,"=""Franklin County""",23,NA,91,75,"=""MS""",93
14,77,"=""George County""",26,1,42,85,"=""MS""",91
12,61,"=""Greene County""",82,5,27,92,"=""MS""",73
17,90,"=""Grenada County""",33,2,90,84,"=""MS""",107
19,77,"=""Hancock County""",44,1,48,91,"=""MS""",96
16,83,"=""Harrison County""",29,1,74,84,"=""MS""",99
55,95,"=""Hinds County""",28,1,96,86,"=""MS""",150
NA,64,"=""Holmes County""",11,NA,99,88,"=""MS""",63
25,106,"=""Humphreys County""",28,2,99,95,"=""MS""",131
92,74,"=""Issaquena County""",42,12,96,95,"=""MS""",166
4,65,"=""Itawamba County""",34,2,22,88,"=""MS""",69
14,106,"=""Jackson County""",28,2,79,85,"=""MS""",120
8,95,"=""Jasper County""",20,1,94,98,"=""MS""",103
10,108,"=""Jefferson County""",16,NA,99,91,"=""MS""",118
15,81,"=""Jefferson Davis County""",32,3,96,87,"=""MS""",96
20,79,"=""Jones County""",29,1,90,86,"=""MS""",99
10,90,"=""Kemper County""",11,1,98,97,"=""MS""",100
51,104,"=""Lafayette County""",24,1,96,100,"=""MS""",155
11,91,"=""Lamar County""",15,1,88,86,"=""MS""",102
14,87,"=""Lauderdale County""",23,1,93,91,"=""MS""",101
8,74,"=""Lawrence County""",18,NA,83,88,"=""MS""",82
8,78,"=""Leake County""",26,1,83,96,"=""MS""",86
9,73,"=""Lee County""",26,2,81,87,"=""MS""",82
19,108,"=""Leflore County""",26,1,98,86,"=""MS""",127
15,71,"=""Lincoln County""",30,2,85,91,"=""MS""",86
18,100,"=""Lowndes County""",29,3,89,81,"=""MS""",118
81,109,"=""Madison County""",24,1,99,88,"=""MS""",190
15,72,"=""Marion County""",33,2,90,87,"=""MS""",87
4,110,"=""Marshall County""",42,0,96,89,"=""MS""",114
21,100,"=""Monroe County""",24,1,87,88,"=""MS""",121
9,106,"=""Montgomery County""",20,1,95,91,"=""MS""",115
21,71,"=""Neshoba County""",19,NA,81,96,"=""MS""",92
10,76,"=""Newton County""",30,1,81,98,"=""MS""",86
22,101,"=""Noxubee County""",10,0,99,97,"=""MS""",123
20,109,"=""Oktibbeha County""",24,1,95,78,"=""MS""",129
17,110,"=""Panola County""",30,1,95,85,"=""MS""",127
7,68,"=""Pearl River County""",29,1,56,93,"=""MS""",75
22,92,"=""Perry County""",45,NA,63,85,"=""MS""",114
8,74,"=""Pike County""",18,0,95,83,"=""MS""",82
42,87,"=""Pontotoc County""",39,1,56,87,"=""MS""",129
6,66,"=""Prentiss County""",31,2,45,89,"=""MS""",72
46,100,"=""Quitman County""",45,2,93,80,"=""MS""",146
93,92,"=""Rankin County""",28,1,72,89,"=""MS""",185
20,71,"=""Scott County""",23,1,95,97,"=""MS""",91
28,151,"=""Sharkey County""",20,NA,94,93,"=""MS""",179
NA,73,"=""Simpson County""",42,2,83,88,"=""MS""",72
5,91,"=""Smith County""",39,NA,81,98,"=""MS""",96
22,92,"=""Stone County""",11,NA,90,85,"=""MS""",114
22,99,"=""Sunflower County""",28,1,100,94,"=""MS""",121
53,87,"=""Tallahatchie County""",62,2,95,85,"=""MS""",140
8,113,"=""Tate County""",22,1,95,96,"=""MS""",121
7,80,"=""Tippah County""",33,2,50,89,"=""MS""",87
7,67,"=""Tishomingo County""",35,0,5,85,"=""MS""",74
47,94,"=""Tunica County""",36,2,100,72,"=""MS""",141
6,75,"=""Union County""",30,1,60,80,"=""MS""",81
8,108,"=""Walthall County""",22,NA,95,91,"=""MS""",116
41,67,"=""Warren County""",29,2,90,89,"=""MS""",108
33,102,"=""Washington County""",22,1,99,92,"=""MS""",135
15,77,"=""Wayne County""",32,2,85,93,"=""MS""",92
13,121,"=""Webster County""",21,NA,92,80,"=""MS""",134
15,118,"=""Wilkinson County""",20,NA,100,88,"=""MS""",133
15,85,"=""Winston County""",21,1,93,83,"=""MS""",100
83,99,"=""Yalobusha County""",40,1,70,99,"=""MS""",182
45,68,"=""Yazoo County""",28,2,96,89,"=""MS""",113
10,69,"=""Adair County""",43,4,7,82,"=""MO""",79
3,55,"=""Andrew County""",47,2,3,55,"=""MO""",58
2,54,"=""Atchison County""",42,5,2,65,"=""MO""",56
8,63,"=""Audrain County""",28,1,32,89,"=""MO""",71
19,87,"=""Barry County""",36,NA,14,95,"=""MO""",106
8,56,"=""Barton County""",31,4,3,89,"=""MO""",64
13,72,"=""Bates County""",64,1,5,83,"=""MO""",85
7,84,"=""Benton County""",69,4,4,82,"=""MO""",91
9,144,"=""Bollinger County""",36,NA,4,66,"=""MO""",153
8,68,"=""Boone County""",30,0,60,86,"=""MO""",76
6,58,"=""Buchanan County""",43,4,20,86,"=""MO""",64
5,61,"=""Butler County""",37,2,23,92,"=""MO""",66
NA,NA,"=""Caldwell County""",NA,NA,NA,NA,"=""MO""",-10
12,59,"=""Callaway County""",30,1,33,78,"=""MO""",71
14,83,"=""Camden County""",45,1,9,90,"=""MO""",97
10,92,"=""Cape Girardeau County""",27,1,59,69,"=""MO""",102
14,69,"=""Carroll County""",54,5,6,63,"=""MO""",83
7,70,"=""Carter County""",43,NA,0,84,"=""MO""",77
12,83,"=""Cass County""",45,4,22,76,"=""MO""",95
9,59,"=""Cedar County""",50,6,1,88,"=""MO""",68
23,105,"=""Chariton County""",38,NA,19,76,"=""MO""",128
19,76,"=""Christian County""",57,5,5,95,"=""MO""",95
46,44,"=""Clark County""",31,NA,1,81,"=""MO""",90
33,88,"=""Clay County""",39,3,39,88,"=""MO""",121
NA,NA,"=""Clinton County""",NA,NA,NA,NA,"=""MO""",-10
7,60,"=""Cole County""",30,1,48,77,"=""MO""",67
19,69,"=""Cooper County""",47,1,25,78,"=""MO""",88
6,58,"=""Crawford County""",29,0,4,92,"=""MO""",64
NA,NA,"=""Dade County""",NA,NA,NA,NA,"=""MO""",-8
22,65,"=""Dallas County""",59,9,6,95,"=""MO""",87
NA,NA,"=""Daviess County""",NA,NA,NA,NA,"=""MO""",-10
4,69,"=""DeKalb County""",69,8,4,83,"=""MO""",73
10,79,"=""Dent County""",53,7,2,89,"=""MO""",89
3,72,"=""Douglas County""",57,5,7,78,"=""MO""",75
10,70,"=""Dunklin County""",27,2,43,88,"=""MO""",80
21,105,"=""Franklin County""",31,2,6,71,"=""MO""",126
4,56,"=""Gasconade County""",20,NA,0,92,"=""MO""",60
3,71,"=""Gentry County""",56,NA,0,64,"=""MO""",74
14,66,"=""Greene County""",36,2,20,92,"=""MO""",80
3,73,"=""Grundy County""",61,11,5,53,"=""MO""",76
4,55,"=""Harrison County""",50,5,3,72,"=""MO""",59
12,67,"=""Henry County""",52,3,3,91,"=""MO""",79
20,73,"=""Hickory County""",86,24,0,93,"=""MO""",93
NA,NA,"=""Holt County""",NA,NA,NA,NA,"=""MO""",-10
14,66,"=""Howard County""",40,2,33,87,"=""MO""",80
8,60,"=""Howell County""",40,3,4,77,"=""MO""",68
1,105,"=""Iron County""",20,NA,10,68,"=""MO""",106
43,87,"=""Jackson County""",34,2,76,85,"=""MO""",130
18,62,"=""Jasper County""",45,3,11,87,"=""MO""",80
17,75,"=""Jefferson County""",30,1,8,80,"=""MO""",92
15,72,"=""Johnson County""",51,4,16,75,"=""MO""",87
88,56,"=""Knox County""",31,NA,0,81,"=""MO""",144
9,65,"=""Laclede County""",43,4,3,92,"=""MO""",74
13,78,"=""Lafayette County""",41,3,15,76,"=""MO""",91
15,63,"=""Lawrence County""",56,8,6,94,"=""MO""",78
NA,77,"=""Lewis County""",41,6,29,60,"=""MO""",76
27,92,"=""Lincoln County""",26,1,12,60,"=""MO""",119
5,60,"=""Linn County""",46,5,7,86,"=""MO""",65
2,57,"=""Livingston County""",45,5,3,89,"=""MO""",59
7,61,"=""McDonald County""",42,2,22,95,"=""MO""",68
4,69,"=""Macon County""",23,2,18,85,"=""MO""",73
24,59,"=""Madison County""",45,3,5,77,"=""MO""",83
6,60,"=""Maries County""",28,NA,3,92,"=""MO""",66
12,64,"=""Marion County""",34,4,23,86,"=""MO""",76
NA,73,"=""Mercer County""",69,8,0,72,"=""MO""",72
26,82,"=""Miller County""",74,9,7,93,"=""MO""",108
8,74,"=""Mississippi County""",30,1,59,94,"=""MO""",82
8,75,"=""Moniteau County""",43,NA,9,63,"=""MO""",83
NA,NA,"=""Monroe County""",NA,NA,NA,NA,"=""MO""",-8
12,96,"=""Montgomery County""",32,2,6,68,"=""MO""",108
14,72,"=""Morgan County""",50,3,13,75,"=""MO""",86
12,68,"=""New Madrid County""",26,1,57,86,"=""MO""",80
8,60,"=""Newton County""",45,2,13,87,"=""MO""",68
5,80,"=""Nodaway County""",48,7,2,81,"=""MO""",85
17,54,"=""Oregon County""",44,3,2,68,"=""MO""",71
5,75,"=""Osage County""",12,NA,8,59,"=""MO""",80
NA,66,"=""Ozark County""",51,4,4,75,"=""MO""",65
10,66,"=""Pemiscot County""",25,1,66,91,"=""MO""",76
46,83,"=""Perry County""",46,4,0,71,"=""MO""",129
13,78,"=""Pettis County""",48,3,24,83,"=""MO""",91
6,63,"=""Phelps County""",48,3,10,91,"=""MO""",69
7,69,"=""Pike County""",45,1,13,72,"=""MO""",76
42,86,"=""Platte County""",23,2,59,79,"=""MO""",128
22,54,"=""Polk County""",55,10,3,95,"=""MO""",76
16,56,"=""Pulaski County""",34,1,21,93,"=""MO""",72
NA,75,"=""Putnam County""",30,2,4,64,"=""MO""",74
17,75,"=""Ralls County""",17,NA,0,60,"=""MO""",92
4,74,"=""Randolph County""",39,3,17,79,"=""MO""",78
9,67,"=""Ray County""",46,4,5,90,"=""MO""",76
NA,NA,"=""Reynolds County""",NA,NA,NA,NA,"=""MO""",-8
6,69,"=""Ripley County""",61,6,2,86,"=""MO""",75
22,94,"=""St. Charles County""",40,3,40,85,"=""MO""",116
5,54,"=""St. Clair County""",39,3,4,87,"=""MO""",59
4,62,"=""Ste. Genevieve County""",55,7,1,91,"=""MO""",66
14,76,"=""St. Francois County""",30,1,7,73,"=""MO""",90
52,112,"=""St. Louis County""",35,4,82,59,"=""MO""",164
12,70,"=""Saline County""",34,3,22,84,"=""MO""",82
6,61,"=""Schuyler County""",42,6,2,87,"=""MO""",67
26,51,"=""Scotland County""",36,6,0,88,"=""MO""",77
8,71,"=""Scott County""",46,2,36,78,"=""MO""",79
3,71,"=""Shannon County""",20,10,5,64,"=""MO""",74
NA,90,"=""Shelby County""",30,NA,3,79,"=""MO""",89
6,73,"=""Stoddard County""",48,4,4,92,"=""MO""",79
18,55,"=""Stone County""",59,2,9,90,"=""MO""",73
NA,NA,"=""Sullivan County""",NA,NA,NA,NA,"=""MO""",-8
15,60,"=""Taney County""",66,3,9,94,"=""MO""",75
5,54,"=""Texas County""",40,5,4,70,"=""MO""",59
2,49,"=""Vernon County""",29,3,4,77,"=""MO""",51
32,86,"=""Warren County""",26,1,14,61,"=""MO""",118
6,61,"=""Washington County""",32,1,4,95,"=""MO""",67
5,69,"=""Wayne County""",55,3,0,86,"=""MO""",74
18,82,"=""Webster County""",46,4,11,82,"=""MO""",100
NA,NA,"=""Worth County""",NA,NA,NA,NA,"=""MO""",-8
7,60,"=""Wright County""",42,2,2,78,"=""MO""",67
37,96,"=""St. Louis city""",42,2,90,74,"=""MO""",133
8,67,"=""Beaverhead County""",44,3,7,83,"=""MT""",75
NA,123,"=""Big Horn County""",37,NA,63,72,"=""MT""",122
5,101,"=""Blaine County""",48,7,41,65,"=""MT""",106
107,85,"=""Broadwater County""",55,NA,9,72,"=""MT""",192
29,85,"=""Carbon County""",42,2,12,75,"=""MT""",114
13,70,"=""Cascade County""",34,3,28,82,"=""MT""",83
NA,78,"=""Chouteau County""",63,4,11,59,"=""MT""",77
11,64,"=""Custer County""",30,2,8,83,"=""MT""",75
7,80,"=""Dawson County""",39,7,14,77,"=""MT""",87
11,80,"=""Deer Lodge County""",44,1,6,80,"=""MT""",91
NA,25,"=""Fallon County""",38,15,8,63,"=""MT""",24
7,84,"=""Fergus County""",44,6,4,80,"=""MT""",91
32,86,"=""Flathead County""",59,5,9,83,"=""MT""",118
26,89,"=""Gallatin County""",45,2,12,81,"=""MT""",115
8,53,"=""Glacier County""",22,3,83,86,"=""MT""",61
NA,NA,"=""Granite County""",NA,NA,NA,NA,"=""MT""",-8
6,77,"=""Hill County""",23,3,54,76,"=""MT""",83
NA,70,"=""Jefferson County""",47,NA,13,79,"=""MT""",69
NA,37,"=""Judith Basin County""",53,NA,0,73,"=""MT""",36
41,86,"=""Lake County""",52,3,24,83,"=""MT""",127
20,78,"=""Lewis and Clark County""",36,1,13,86,"=""MT""",98
NA,43,"=""Liberty County""",27,NA,7,73,"=""MT""",42
21,74,"=""Lincoln County""",42,3,5,87,"=""MT""",95
NA,NA,"=""McCone County""",NA,NA,NA,NA,"=""MT""",-8
NA,NA,"=""Madison County""",NA,NA,NA,NA,"=""MT""",-8
NA,NA,"=""Meagher County""",NA,NA,NA,NA,"=""MT""",-8
37,128,"=""Mineral County""",68,NA,11,72,"=""MT""",165
21,90,"=""Missoula County""",44,4,16,81,"=""MT""",111
NA,70,"=""Musselshell County""",64,3,12,86,"=""MT""",69
1,94,"=""Park County""",63,4,4,83,"=""MT""",95
NA,NA,"=""Petroleum County""",NA,NA,NA,NA,"=""MT""",-8
19,60,"=""Phillips County""",17,NA,47,85,"=""MT""",79
NA,41,"=""Pondera County""",42,4,8,76,"=""MT""",40
NA,NA,"=""Powder River County""",NA,NA,NA,NA,"=""MT""",-8
45,91,"=""Powell County""",52,NA,16,75,"=""MT""",136
NA,NA,"=""Prairie County""",NA,NA,NA,NA,"=""MT""",-8
24,91,"=""Ravalli County""",64,7,6,78,"=""MT""",115
10,73,"=""Richland County""",47,5,9,68,"=""MT""",83
NA,92,"=""Roosevelt County""",28,NA,83,72,"=""MT""",91
NA,128,"=""Rosebud County""",73,NA,18,72,"=""MT""",127
18,72,"=""Sanders County""",78,4,9,80,"=""MT""",90
NA,99,"=""Sheridan County""",79,29,14,86,"=""MT""",98
13,57,"=""Silver Bow County""",41,1,13,78,"=""MT""",70
NA,NA,"=""Stillwater County""",NA,NA,NA,NA,"=""MT""",-8
NA,NA,"=""Sweet Grass County""",NA,NA,NA,NA,"=""MT""",-8
5,59,"=""Teton County""",70,21,12,67,"=""MT""",64
6,55,"=""Toole County""",35,2,10,69,"=""MT""",61
8,54,"=""Valley County""",54,8,16,82,"=""MT""",62
14,60,"=""Wheatland County""",39,NA,11,72,"=""MT""",74
NA,NA,"=""Wibaux County""",NA,NA,NA,NA,"=""MT""",-8
57,81,"=""Yellowstone County""",42,4,28,81,"=""MT""",138
5,65,"=""Adams County""",46,5,14,78,"=""NE""",70
5,73,"=""Antelope County""",62,4,5,83,"=""NE""",78
1,76,"=""Boone County""",41,5,6,96,"=""NE""",77
14,57,"=""Box Butte County""",40,4,32,72,"=""NE""",71
5,56,"=""Boyd County""",47,13,13,85,"=""NE""",61
4,50,"=""Brown County""",59,3,3,93,"=""NE""",54
10,66,"=""Buffalo County""",38,4,17,91,"=""NE""",76
4,69,"=""Burt County""",68,7,2,88,"=""NE""",73
3,77,"=""Butler County""",64,7,5,89,"=""NE""",80
5,62,"=""Cass County""",54,8,3,97,"=""NE""",67
3,69,"=""Cedar County""",67,16,0,75,"=""NE""",72
7,71,"=""Chase County""",72,17,7,96,"=""NE""",78
25,72,"=""Cherry County""",67,15,21,93,"=""NE""",97
3,54,"=""Cheyenne County""",38,2,16,88,"=""NE""",57
7,37,"=""Clay County""",27,2,10,98,"=""NE""",44
16,57,"=""Colfax County""",31,2,47,92,"=""NE""",73
5,71,"=""Cuming County""",46,5,7,70,"=""NE""",76
3,77,"=""Custer County""",49,7,5,93,"=""NE""",80
3,58,"=""Dakota County""",35,4,46,79,"=""NE""",61
2,75,"=""Dawes County""",39,NA,30,85,"=""NE""",77
3,60,"=""Dawson County""",53,7,21,73,"=""NE""",63
11,51,"=""Deuel County""",29,7,11,93,"=""NE""",62
NA,98,"=""Dixon County""",55,6,9,55,"=""NE""",97
5,70,"=""Dodge County""",44,4,9,92,"=""NE""",75
16,92,"=""Douglas County""",29,1,68,84,"=""NE""",108
35,59,"=""Dundy County""",52,11,4,80,"=""NE""",94
1,62,"=""Fillmore County""",56,3,12,85,"=""NE""",63
NA,85,"=""Franklin County""",75,6,0,68,"=""NE""",84
5,77,"=""Frontier County""",50,5,9,96,"=""NE""",82
2,64,"=""Furnas County""",56,7,5,83,"=""NE""",66
2,60,"=""Gage County""",47,6,8,82,"=""NE""",62
12,122,"=""Garden County""",78,11,0,100,"=""NE""",134
2,64,"=""Garfield County""",32,3,2,98,"=""NE""",66
3,84,"=""Greeley County""",62,8,0,92,"=""NE""",87
4,67,"=""Hall County""",40,3,32,89,"=""NE""",71
9,78,"=""Hamilton County""",72,3,3,87,"=""NE""",87
NA,74,"=""Harlan County""",68,6,3,87,"=""NE""",73
1,52,"=""Hitchcock County""",36,NA,0,70,"=""NE""",53
25,60,"=""Holt County""",45,4,4,84,"=""NE""",85
1,50,"=""Howard County""",65,8,4,91,"=""NE""",51
8,61,"=""Jefferson County""",43,6,14,89,"=""NE""",69
4,73,"=""Johnson County""",68,4,7,79,"=""NE""",77
6,90,"=""Kearney County""",57,5,7,87,"=""NE""",96
6,78,"=""Keith County""",66,8,8,84,"=""NE""",84
NA,74,"=""Kimball County""",76,14,19,95,"=""NE""",73
12,74,"=""Knox County""",71,20,10,83,"=""NE""",86
NA,166,"=""Lancaster County""",40,3,28,82,"=""NE""",165
17,72,"=""Lincoln County""",43,5,15,85,"=""NE""",89
5,70,"=""Madison County""",48,4,16,83,"=""NE""",75
33,59,"=""Merrick County""",53,6,8,78,"=""NE""",92
1,83,"=""Morrill County""",59,15,15,97,"=""NE""",84
2,42,"=""Nance County""",56,NA,0,94,"=""NE""",44
1,44,"=""Nemaha County""",26,3,18,86,"=""NE""",45
NA,33,"=""Nuckolls County""",56,6,9,74,"=""NE""",32
9,65,"=""Otoe County""",44,6,3,95,"=""NE""",74
NA,20,"=""Pawnee County""",33,5,0,87,"=""NE""",19
NA,65,"=""Perkins County""",76,NA,5,93,"=""NE""",64
2,61,"=""Phelps County""",74,10,6,77,"=""NE""",63
11,62,"=""Pierce County""",53,7,13,62,"=""NE""",73
21,81,"=""Platte County""",62,4,14,83,"=""NE""",102
1,69,"=""Polk County""",40,NA,0,63,"=""NE""",70
3,64,"=""Red Willow County""",48,3,7,72,"=""NE""",67
2,41,"=""Richardson County""",42,7,3,81,"=""NE""",43
19,53,"=""Rock County""",67,19,14,94,"=""NE""",72
3,64,"=""Saline County""",63,5,16,85,"=""NE""",67
39,77,"=""Sarpy County""",52,5,31,88,"=""NE""",116
NA,62,"=""Saunders County""",81,6,6,86,"=""NE""",61
9,59,"=""Scotts Bluff County""",39,2,32,89,"=""NE""",68
NA,41,"=""Seward County""",87,15,4,81,"=""NE""",40
1,64,"=""Sheridan County""",49,10,38,90,"=""NE""",65
5,73,"=""Sherman County""",75,11,8,88,"=""NE""",78
2,86,"=""Stanton County""",66,13,3,96,"=""NE""",88
2,28,"=""Thayer County""",37,5,7,85,"=""NE""",30
NA,61,"=""Thurston County""",58,4,77,61,"=""NE""",60
3,72,"=""Valley County""",42,7,6,92,"=""NE""",75
4,71,"=""Washington County""",47,8,11,95,"=""NE""",75
2,53,"=""Wayne County""",32,8,11,82,"=""NE""",55
4,55,"=""Webster County""",49,6,7,100,"=""NE""",59
3,55,"=""York County""",37,3,8,87,"=""NE""",58
20,84,"=""Churchill County""",18,NA,24,73,"=""NV""",104
30,122,"=""Clark County""",32,2,81,96,"=""NV""",152
36,120,"=""Douglas County""",50,4,23,71,"=""NV""",156
27,72,"=""Elko County""",37,4,25,79,"=""NV""",99
NA,NA,"=""Esmeralda County""",NA,NA,NA,NA,"=""NV""",-8
16,69,"=""Humboldt County""",43,NA,33,68,"=""NV""",85
NA,52,"=""Lander County""",24,3,17,89,"=""NV""",51
NA,24,"=""Lincoln County""",10,NA,10,78,"=""NV""",23
9,98,"=""Lyon County""",41,3,20,72,"=""NV""",107
NA,NA,"=""Mineral County""",NA,NA,NA,NA,"=""NV""",-8
18,86,"=""Nye County""",28,1,36,68,"=""NV""",104
NA,NA,"=""Pershing County""",NA,NA,NA,NA,"=""NV""",-8
NA,NA,"=""Storey County""",NA,NA,NA,NA,"=""NV""",-8
NA,250,"=""Washoe County""",52,4,38,84,"=""NV""",249
NA,NA,"=""White Pine County""",NA,NA,NA,NA,"=""NV""",-8
14,97,"=""Carson City""",49,3,21,74,"=""NV""",111
21,94,"=""Belknap County""",55,4,4,91,"=""NH""",115
46,114,"=""Carroll County""",60,9,3,95,"=""NH""",160
22,225,"=""Cheshire County""",48,6,4,86,"=""NH""",247
7,76,"=""Coos County""",51,6,3,83,"=""NH""",83
32,99,"=""Grafton County""",68,8,5,92,"=""NH""",131
40,105,"=""Hillsborough County""",44,4,26,94,"=""NH""",145
26,96,"=""Merrimack County""",51,6,11,93,"=""NH""",122
29,105,"=""Rockingham County""",58,6,7,95,"=""NH""",134
35,95,"=""Strafford County""",46,5,7,93,"=""NH""",130
9,79,"=""Sullivan County""",52,7,3,95,"=""NH""",88
16,123,"=""Atlantic County""",43,4,80,87,"=""NJ""",139
29,130,"=""Bergen County""",60,11,66,95,"=""NJ""",159
25,118,"=""Burlington County""",43,4,68,95,"=""NJ""",143
28,112,"=""Camden County""",42,4,78,91,"=""NJ""",140
22,112,"=""Cape May County""",59,6,31,96,"=""NJ""",134
27,115,"=""Cumberland County""",37,3,82,91,"=""NJ""",142
53,119,"=""Essex County""",44,4,91,92,"=""NJ""",172
43,103,"=""Gloucester County""",36,3,62,83,"=""NJ""",146
29,145,"=""Hudson County""",51,6,81,92,"=""NJ""",174
34,114,"=""Hunterdon County""",44,3,26,89,"=""NJ""",148
34,113,"=""Mercer County""",46,5,83,92,"=""NJ""",147
25,124,"=""Middlesex County""",51,8,74,94,"=""NJ""",149
19,125,"=""Monmouth County""",58,8,53,88,"=""NJ""",144
20,95,"=""Morris County""",64,11,53,94,"=""NJ""",115
16,128,"=""Ocean County""",31,3,27,96,"=""NJ""",144
37,130,"=""Passaic County""",52,6,85,90,"=""NJ""",167
19,135,"=""Salem County""",42,4,74,93,"=""NJ""",154
11,110,"=""Somerset County""",57,11,63,95,"=""NJ""",121
15,131,"=""Sussex County""",58,8,15,94,"=""NJ""",146
31,120,"=""Union County""",54,7,82,89,"=""NJ""",151
16,115,"=""Warren County""",44,4,27,95,"=""NJ""",131
